ParticipantID,Region,PEU_1,PEU_2,PEU_3,PEU_4,PU_1,PU_2,PU_3,PU_4,CA_1,CA_2,CA_3,CA_4,CA_5,SN_1,SN_2,SN_3,BI_1,BI_2,BI_3,AU_1,AU_2
P001,Eastern_Asia,4,1,3,3,2,4,2,2,5,3,4,2,6,3,4,4,4,2,3,3,2
P002,Eastern_Asia,4,3,3,3,3,5,3,2,3,4,4,3,5,2,4,2,3,4,4,4,4
P003,Eastern_Asia,4,4,3,4,2,3,4,3,4,4,4,4,3,4,2,4,3,5,3,3,4
P004,Eastern_Asia,2,3,4,4,3,2,4,4,4,5,3,3,1,4,4,2,2,3,4,3,3
P005,Eastern_Asia,2,2,2,2,2,4,3,2,6,3,5,5,2,4,3,3,4,3,3,3,3
P006,Eastern_Asia,2,4,4,4,3,3,3,5,5,3,4,3,4,4,4,3,4,2,3,4,2
P007,Eastern_Asia,3,3,4,2,1,2,4,3,5,3,3,4,4,4,4,4,4,4,4,4,4
P008,Eastern_Asia,5,3,4,3,2,3,3,3,4,4,4,4,2,4,4,4,2,5,4,4,3
P009,Eastern_Asia,4,3,4,2,3,3,3,3,3,4,2,4,3,4,4,3,3,2,4,4,2
P010,Eastern_Asia,3,2,3,4,4,4,4,3,3,4,4,3,5,4,3,3,3,4,3,4,3
P011,Eastern_Asia,4,3,3,3,4,4,3,4,3,4,5,4,3,3,4,3,2,3,3,3,2
P012,Eastern_Asia,4,3,4,3,3,3,3,5,3,5,3,4,4,3,3,3,3,5,3,4,5
P013,Eastern_Asia,3,3,3,3,3,3,3,2,5,4,3,3,4,3,5,4,4,4,3,4,3
P014,Eastern_Asia,4,3,4,4,5,3,3,2,3,4,4,6,4,3,4,3,4,3,4,4,3
P015,Eastern_Asia,4,4,2,3,2,5,3,5,2,3,4,4,4,2,5,4,4,3,4,3,2
P016,Eastern_Asia,3,3,4,2,3,2,3,3,4,4,3,5,3,2,3,2,4,3,4,4,2
P017,Eastern_Asia,3,4,4,4,4,3,3,4,3,4,3,3,4,3,3,3,3,4,3,3,3
P018,Western_Europe,4,3,4,2,6,3,4,3,4,3,3,4,3,3,2,3,5,4,4,3,3
P019,Western_Europe,4,4,3,4,3,5,3,4,4,3,3,4,4,3,1,2,4,4,4,4,4
P020,Western_Europe,3,4,3,2,2,3,5,2,3,2,3,3,2,4,4,1,3,4,4,3,3
P021,Western_Europe,3,2,5,2,6,4,4,4,3,3,3,3,3,2,2,2,4,3,2,4,5
P022,Western_Europe,4,3,2,3,3,3,4,5,3,3,2,4,3,2,3,3,4,4,4,3,4
P023,Western_Europe,4,2,4,3,3,4,4,3,4,3,4,2,3,2,4,2,4,3,3,4,4
P024,Western_Europe,5,2,4,5,2,4,4,4,2,2,2,4,4,3,2,1,4,3,3,3,3
P025,Western_Europe,3,4,3,4,5,4,4,5,2,2,3,5,3,4,3,2,3,4,3,3,5
P026,Western_Europe,3,5,3,3,2,4,4,4,4,2,3,3,3,3,3,2,3,3,3,3,4
P027,Western_Europe,3,2,5,3,4,4,4,4,3,3,3,4,4,3,2,3,2,3,3,5,3
P028,Western_Europe,4,3,4,5,3,3,4,2,3,3,2,3,3,1,2,1,4,4,3,4,2
P029,Western_Europe,3,4,3,3,3,3,3,3,3,2,3,2,2,4,3,5,3,3,3,4,3
P030,Western_Europe,3,5,3,4,4,4,3,3,3,4,2,3,2,2,3,1,5,3,3,4,3
P031,Western_Europe,2,3,3,2,4,4,4,3,2,3,3,4,4,4,3,3,3,4,3,3,3
P032,Western_Europe,5,3,4,4,3,3,5,3,2,4,4,3,3,3,2,2,4,4,4,2,3
P033,Western_Europe,4,3,4,4,3,4,5,5,4,3,2,3,4,3,2,2,2,2,4,3,3
P034,North_America,3,4,3,2,4,4,4,4,2,4,3,4,4,2,3,3,4,3,3,4,4
P035,North_America,4,2,4,4,6,4,2,4,5,3,3,4,2,3,2,3,4,3,4,3,4
P036,North_America,2,4,5,3,3,4,5,2,2,3,2,2,1,3,3,1,5,5,3,4,3
P037,North_America,4,3,5,3,4,3,5,5,4,4,3,4,3,4,4,2,4,4,2,4,3
P038,North_America,3,3,3,4,2,4,4,5,2,3,3,4,3,4,1,2,4,2,3,3,4
P039,North_America,2,4,4,3,3,4,3,5,2,3,3,3,1,3,3,3,4,3,4,3,4
P040,North_America,4,3,3,4,3,3,3,3,4,3,3,3,2,1,2,3,4,4,4,3,3
P041,North_America,4,3,3,4,2,6,4,4,2,3,3,3,4,2,4,5,3,4,4,5,3
P042,North_America,3,2,3,3,5,5,3,3,3,4,3,2,3,2,3,2,3,4,3,2,3
P043,North_America,3,4,4,3,4,3,4,4,2,3,4,3,4,2,1,3,4,5,4,4,4
P044,North_America,3,2,4,4,4,4,3,3,3,3,3,3,4,3,2,2,4,4,4,4,3
P045,North_America,4,3,4,5,3,3,4,3,5,3,2,3,3,3,4,3,3,2,3,5,3
P046,North_America,2,3,4,4,3,3,3,3,1,4,4,2,4,3,4,3,4,4,3,4,2
P047,North_America,3,4,3,4,5,4,2,4,4,2,4,4,2,3,3,3,3,4,2,1,3
P048,North_America,4,4,3,3,3,3,4,3,4,3,3,4,3,3,2,3,3,3,4,1,3
P049,Latin_America,2,4,4,3,4,4,4,4,4,2,3,3,2,3,3,4,4,4,4,6,2
P050,Latin_America,3,5,3,4,4,5,3,5,5,2,4,2,3,2,1,3,4,5,4,6,3
P051,Latin_America,3,3,3,2,3,2,4,3,2,2,3,3,4,2,3,5,4,3,3,3,3
P052,Latin_America,4,4,2,3,5,3,3,2,1,4,3,4,4,4,2,3,3,3,4,2,1
P053,Latin_America,3,3,5,3,4,3,4,5,4,2,3,4,3,3,3,2,2,3,5,3,2
P054,Latin_America,4,4,4,4,4,5,3,3,2,3,4,3,3,1,2,1,5,5,4,2,5
P055,Latin_America,3,2,3,3,4,3,3,5,3,2,4,2,2,4,4,2,3,3,4,3,3
P056,Latin_America,4,3,3,2,3,4,4,4,4,2,2,3,1,3,2,4,4,3,4,2,3
P057,Latin_America,2,3,4,4,4,2,3,3,3,5,3,4,5,4,2,2,3,3,2,4,4
P058,Latin_America,5,3,4,3,4,4,3,4,3,3,4,2,2,3,2,3,1,6,3,4,3
P059,Latin_America,4,5,4,3,3,4,5,4,5,3,4,4,3,2,4,2,3,3,3,4,4
P060,Latin_America,4,4,3,4,5,4,4,3,3,2,3,2,2,3,2,3,3,4,4,3,3
P061,Latin_America,5,4,3,4,3,3,3,3,4,2,3,4,3,3,1,3,4,4,2,5,3
P062,Latin_America,4,4,4,5,2,3,4,3,4,4,3,3,4,2,3,2,4,2,3,4,2
P063,South_Asia,3,3,4,2,2,4,3,2,4,3,4,3,4,4,3,4,3,5,5,2,4
P064,South_Asia,3,3,3,2,4,3,3,3,4,4,4,1,4,2,3,2,2,4,3,3,4
P065,South_Asia,3,5,3,4,4,4,3,3,5,4,4,3,5,3,4,3,3,2,2,3,2
P066,South_Asia,2,3,1,4,1,3,3,4,4,5,4,5,3,4,5,3,4,4,3,1,4
P067,South_Asia,4,2,4,4,1,2,3,3,3,3,5,4,3,3,4,4,3,3,3,3,4
P068,South_Asia,3,4,4,4,3,2,4,2,4,4,4,3,2,4,4,3,3,4,4,3,2
P069,South_Asia,3,4,4,3,5,2,3,3,4,3,4,4,4,4,3,2,3,4,4,3,4
P070,South_Asia,3,3,4,3,2,2,4,4,5,4,3,4,5,4,3,4,2,3,3,4,4
P071,South_Asia,3,3,3,3,2,3,3,2,2,2,4,4,4,4,4,3,4,2,4,2,3
P072,South_Asia,3,2,3,3,3,2,4,4,6,3,4,4,3,5,3,3,1,4,3,3,2
P073,South_Asia,3,4,3,4,4,3,3,4,5,4,3,4,4,4,3,2,4,1,3,2,2
P074,South_Asia,3,4,4,3,4,2,2,4,4,3,3,5,2,3,4,5,4,4,3,4,3
P075,South_Asia,2,4,4,4,3,2,1,3,5,4,4,4,5,4,3,4,3,4,3,2,4
